,,,,,,,,,,,,,,,,
,Plan,Semestre,Tipo,Código,Asignatura,Sección,Tope,Aula,Docente,Nº DE HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SÁBADO
,2004,Ciclo 9 Area B,E,131546,FÍSICA DE ALTAS ENERGÍAS  - PRÁCTICA,U,20,315, CARLOS SOLANO SALINAS (P),2,,,16-18,,,
,2004,Ciclo 9 Area B,E,131541,FÍSICA NUCLEAR II - TEORÍA,U,20,109,JORGE ENRIQUE BRAVO CABREJOS  (T),2,11-13,,,,,
,2004,Ciclo 9 Area B,E,131541,FÍSICA NUCLEAR II - PRÁCTICA,U,20,109,JORGE ENRIQUE BRAVO CABREJOS (P),2,,,11-13,,,
,2004,Ciclo 9 Area B,E,131541,FÍSICA NUCLEAR II - LABORATORIO,U,20,109,JORGE ENRIQUE BRAVO CABREJOS  (L),2,,,,,10-12,
,2004,Ciclo 9 Area B,E,131511,OPTICA FISICA - TEORÍA,U,20,215,RENATO TOVAR LANDEO  (T),3,,,,14-17,,
,2004,Ciclo 9 Area B,E,131511,OPTICA FISICA - PRÁCTICA,U,20,215,RENATO TOVAR LANDEO  (P),2,,14-16,,,,
,2004,Ciclo 10 Area B,o,131506,PRACTICA PRE-PROFESIONAL - TEORÍA,U,20,Lab. Optica,WHAULKUER ENRIQUE LOZANO BARTRA (T),,,,,,,
,2004,Ciclo 10 Area B,o,131506,PRACTICA PRE-PROFESIONAL - PRÁCTICA,U,20,Lab. Optica,WHUARKUER ENRIQUE LOZANO BARTRA (P),6,8-10,,8-10,,14-16,
,2004,Ciclo 9 Area C,e,131507,METODOLOGÍA DE LA ENSEÑANZA EN FÍSICA  - TEORÍA,U,20,109,JULIO FABIÁN SALVADOR (T),2,,,,8-10,,
,2004,Ciclo 9 Area C,e,131507,METODOLOGÍA DE LA ENSEÑANZA EN FÍSICA  - PRÁCTICA,U,20,109,JULIO FABIÁN SALVADOR (P),2,,,,,,10-12
,2004,Ciclo 9 Area C,e,131505C,SEMINARIO I - TEORÍA,U,20,313,WHAULKUER ENRIQUE LOZANO BARTRA (T),3,10-13,,,,,
,2004,Ciclo 9 Area C,e,131505C,SEMINARIO I - PRÁCTICA,U,20,313,WHUARKUER ENRIQUE LOZANO BARTRA (P),4,,,10-14,,,
,2004,Ciclo 9 Area C,e,131503,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - TEORÍA,U,20,313,CHACHI ROJAS AYALA (T),2,19-21,,,,,
,2004,Ciclo 9 Area C,e,131503,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - PRÁCTICA,U,20,315,CHACHI ROJAS AYALA (P),2,,,,,   18-20,
,2004,Ciclo 9 Area C,e,131567,TÓPICOS AVANZADOS I - TEORÍA,U,20,109,JOEL ROJAS ACUÑA  (T),3,,10-13,,,,
,2004,Ciclo 9 Area C,e,131567,TÓPICOS AVANZADOS I - PRÁCTICA,U,20,109,JOEL ROJAS ACUÑA  (P),2,,,,10-12,,
,2004,Ciclo 9 Area C,e,131506,PRACTICA PRE-PROFESIONAL - TEORÍA,U,20,Lab. Optica,WHAULKUER ENRIQUE LOZANO BARTRA (T),,,,,,,
,2004,Ciclo 9 Area C,e,131506,PRACTICA PRE-PROFESIONAL - PRÁCTICA,U,20,Lab. Optica,WHUARKUER ENRIQUE LOZANO BARTRA (P),6,8-10,,8-10,,14-16,
,2018,Ciclo 1,O,CBO101,LENGUAJE - TEORÍA,1,30,301,,2,8-10,,,,,
,2018,Ciclo 1,O,CBO101,LENGUAJE - PRÁCTICA,1,30,301,,4,,,,,,12-16
,2018,Ciclo 1,O,CBO101,LENGUAJE - TEORÍA,2,30,304,,2,10-12,,,,,
,2018,Ciclo 1,O,CBO101,LENGUAJE - PRÁCTICA,2,30,301,,4,,,,,,8-12
,2018,Ciclo 1,O,CBO101,LENGUAJE - TEORÍA,3,30,Lab. Computo,,2,14-16,,,,,
,2018,Ciclo 1,O,CBO101,LENGUAJE - PRÁCTICA,3,30,Lab. Computo,,4,,,,,8-12,
,2018,Ciclo 1,O,CBO101,LENGUAJE - TEORÍA,4,35,115,,2,19-21,,,,,
,2018,Ciclo 1,O,CBO101,LENGUAJE - PRÁCTICA,4,35,115,,4,,,,,16-20,
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - TEORÍA,1,30,301,,2,,,,10-12,,
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - PRÁCTICA,1,30,301,,2,,,,12-14,,
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - TEORÍA,2,30,Lab. Computo,,2,,,,,,12-14
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - PRÁCTICA,2,30,Lab. Computo,,2,,,,,,14-16
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - TEORÍA,3,30,Lab. Computo,,2,,,,,,8-10
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - PRÁCTICA,3,30,Lab. Computo,,2,,,,,,10-12
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - TEORÍA,4,35,115,,2,,,,14-16,,
,2018,Ciclo 1,O,CBO102,MÉTODOS DE ESTUDIO UNIVERSITARIO - PRÁCTICA,4,35,115,,2,,,,16-18,,
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - TEORÍA,1,30,301,,2,,,,,10-12,
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - PRÁCTICA,1,30,301,,2,,,,,12-14,
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - TEORÍA,2,30,304,,2,,,,8-10,,
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - PRÁCTICA,2,30,304,,2,,,,14-16,,
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - TEORÍA,3,30,Lab. Computo,,2,,,,10-12,,
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - PRÁCTICA,3,30,Lab. Computo,,2,,,,12-14,,
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - TEORÍA,4,35,313,,2,,,,,,8-10
,2018,Ciclo 1,O,CBO103,GESTIÓN PERSONAL - PRÁCTICA,4,35,313,,2,,,,,,10-12
,2018,Ciclo 1,O,CBO104,CÁLCULO I - TEORÍA,1,30,301,,3,,8-11,,,,
,2018,Ciclo 1,O,CBO104,CÁLCULO I - PRÁCTICA,1,30,301,,2,10-12,,,,,
,2018,Ciclo 1,O,CBO104,CÁLCULO I - TEORÍA,2,30,304,,3,,8-11,,,,
,2018,Ciclo 1,O,CBO104,CÁLCULO I - PRÁCTICA,2,30,304,,2,8-10,,,,,
,2018,Ciclo 1,O,CBO104,CÁLCULO I - TEORÍA,3,30,Lab. Computo,,3,,8-11,,,,
,2018,Ciclo 1,O,CBO104,CÁLCULO I - PRÁCTICA,3,30,Lab. Computo,,2,10-12,,,,,
,2018,Ciclo 1,O,CBO104,CÁLCULO I - TEORÍA,4,35,115,,3,16-19,,,,,
,2018,Ciclo 1,O,CBO104,CÁLCULO I - PRÁCTICA,4,35,115,,2,,14-16,,,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - TEORÍA,1,30,301,,3,,,8-11,,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - PRÁCTICA,1,30,301,,2,,,,8-10,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - TEORÍA,2,30,304,,3,,,8-11,,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - PRÁCTICA,2,30,304,,2,,,,10-12,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - TEORÍA,3,30,Lab. Computo,,3,,,8-11,,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - PRÁCTICA,3,30,Lab. Computo,,2,,,,8-10,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - TEORÍA,4,35,115,,3,,,17-20,,,
,2018,Ciclo 1,O,CBO105,MATEMÁTICA BÁSICA  - PRÁCTICA,4,35,115,,2,,,,18-20,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - TEORÍA,1,30,301,,2,,11-13,,,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - PRÁCTICA,1,30,301,,4,12-14,13-15,,,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - TEORÍA,2,30,304,,2,,11-13,,,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - PRÁCTICA,2,30,304,,4,12-14,13-15,,,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - TEORÍA,3,30,Lab. Computo,,2,,11-13,,,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - PRÁCTICA,3,30,Lab. Computo,,4,12-14,13-15,,,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - TEORÍA,4,35,115,,2,,16-18,,,,
,2018,Ciclo 1,O,CBO106,BIOLOGÍA - PRÁCTICA,4,35,115,,4,14-16,18-20,,,,
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - TEORÍA,1,30,301,Robert Espinoza Bernardo (T),1,,,11-12,,,
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - PRÁCTICA,1,30,301,Robert Espinoza Bernardo  (P),2,,,12-14,,,
